Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Joe Webb,MIN,QB,24.0,5.0,2.0,0.0,0.0,477.0,0.0,89.0,120.0,2.0,18.0,0.0,0.0,37.08,3.0,1.0,0.0
Charlie Whitehurst,SEA,QB,28.0,6.0,2.0,0.0,0.0,507.0,2.0,99.0,43.0,1.0,20.0,0.0,0.0,32.58,3.0,2.0,0.0
Early Doucet,ARI,WR,25.0,10.0,5.0,59.0,26.0,0.0,0.0,0.0,5.0,0.0,2.0,291.0,1.0,61.6,0.0,0.0,0.0
Jermichael Finley,GNB,TE,23.0,5.0,5.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,1.0,57.1,0.0,0.0,0.0
Kenneth Darby,STL,RB,28.0,14.0,0.0,13.0,10.0,0.0,0.0,0.0,107.0,2.0,34.0,61.0,1.0,44.8,0.0,0.0,0.0
Harry Douglas,ATL,WR,26.0,16.0,4.0,53.0,22.0,0.0,0.0,0.0,-5.0,0.0,2.0,294.0,1.0,56.9,0.0,0.0,0.0
Brian Finneran,ATL,WR,34.0,16.0,1.0,32.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,3.0,53.6,0.0,0.0,0.0
John Skelton,ARI,QB,22.0,5.0,4.0,0.0,0.0,662.0,2.0,126.0,49.0,0.0,10.0,0.0,0.0,33.38,2.0,3.0,1.0
Brandon Stokley,SEA,WR,34.0,11.0,0.0,43.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,66.4,0.0,0.0,0.0
Delanie Walker,SFO,TE,26.0,14.0,8.0,45.0,29.0,0.0,0.0,0.0,18.0,0.0,3.0,331.0,0.0,61.9,0.0,1.0,1.0
Andre Caldwell,CIN,WR,25.0,15.0,5.0,37.0,25.0,0.0,0.0,0.0,-2.0,0.0,1.0,345.0,0.0,57.3,0.0,1.0,1.0
Dexter McCluster,KAN,WR,21.0,11.0,7.0,39.0,21.0,0.0,0.0,0.0,71.0,0.0,18.0,209.0,1.0,53.0,0.0,2.0,1.0
Randy McMichael,SDG,WR,31.0,16.0,11.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,2.0,54.1,0.0,0.0,0.0
Mewelde Moore,PIT,RB,28.0,15.0,0.0,31.0,26.0,0.0,0.0,0.0,99.0,0.0,33.0,205.0,0.0,56.4,0.0,0.0,0.0
David Thomas,NOR,TE,27.0,13.0,8.0,46.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,2.0,63.9,0.0,0.0,0.0
Justin Gage,TEN,WR,29.0,11.0,4.0,43.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,1.0,52.6,0.0,0.0,0.0
Michael Hoomanawanui,STL,TE,22.0,8.0,3.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,3.0,45.6,0.0,0.0,0.0
Craig Davis,SDG,WR,25.0,7.0,1.0,39.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,1.0,52.9,0.0,0.0,0.0
Jason Hill,2TM,WR,25.0,8.0,1.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,1.0,41.8,0.0,0.0,0.0
Greg Camarillo,MIN,WR,28.0,16.0,1.0,34.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,1.0,50.0,0.0,0.0,0.0
Andrew Quarless,GNB,TE,22.0,13.0,3.0,33.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,1.0,48.8,0.0,1.0,1.0
Jake Delhomme,CLE,QB,35.0,5.0,4.0,0.0,0.0,872.0,2.0,149.0,-2.0,0.0,8.0,0.0,0.0,26.680000000000003,7.0,3.0,1.0
Zach Miller,JAX,TE,26.0,15.0,5.0,26.0,20.0,0.0,0.0,0.0,9.0,0.0,2.0,216.0,1.0,48.5,0.0,0.0,0.0
Tyler Thigpen,MIA,QB,26.0,5.0,1.0,0.0,0.0,435.0,2.0,62.0,73.0,0.0,13.0,0.0,0.0,28.7,2.0,1.0,0.0
Matt Flynn,GNB,QB,25.0,7.0,1.0,0.0,0.0,433.0,3.0,66.0,26.0,0.0,9.0,0.0,0.0,25.92,2.0,1.0,1.0
Derek Hagan,NYG,WR,26.0,7.0,4.0,43.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,1.0,52.3,0.0,0.0,0.0
Julius Jones,2TM,RB,29.0,12.0,2.0,22.0,17.0,0.0,0.0,0.0,223.0,0.0,60.0,59.0,0.0,43.2,0.0,1.0,1.0
LaRod Stephens-Howling,ARI,WR,23.0,13.0,2.0,23.0,16.0,0.0,0.0,0.0,113.0,1.0,23.0,111.0,0.0,44.40000000000001,0.0,0.0,0.0
Billy Bajema,STL,TE,28.0,13.0,8.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,2.0,40.5,0.0,1.0,0.0
Chris Chambers,KAN,WR,32.0,13.0,7.0,43.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,1.0,49.3,0.0,0.0,0.0
Mike Hart,IND,RB,24.0,7.0,1.0,6.0,6.0,0.0,0.0,0.0,185.0,1.0,43.0,25.0,0.0,33.0,0.0,0.0,0.0
Jacob Hester,SDG,RB,25.0,15.0,7.0,26.0,22.0,0.0,0.0,0.0,60.0,0.0,26.0,145.0,1.0,48.5,0.0,0.0,0.0
Donald Jones,BUF,WR,23.0,15.0,5.0,41.0,18.0,0.0,0.0,0.0,1.0,0.0,3.0,213.0,1.0,45.4,0.0,0.0,0.0
Martellus Bennett,DAL,TE,23.0,16.0,11.0,47.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,59.0,0.0,1.0,0.0
Tarvaris Jackson,MIN,QB,27.0,3.0,1.0,0.0,0.0,341.0,3.0,58.0,63.0,0.0,7.0,0.0,0.0,23.94,4.0,1.0,0.0
Brian Leonard,CIN,RB,26.0,11.0,0.0,26.0,20.0,0.0,0.0,0.0,61.0,0.0,9.0,137.0,1.0,45.8,0.0,0.0,0.0
Dante Rosario,CAR,TE,26.0,16.0,6.0,58.0,32.0,0.0,0.0,0.0,-2.0,0.0,1.0,264.0,0.0,58.2,0.0,0.0,0.0
Kevin Smith,DET,RB,24.0,6.0,0.0,16.0,11.0,0.0,0.0,0.0,133.0,0.0,34.0,123.0,0.0,36.6,0.0,0.0,0.0
Trent Edwards,2TM,QB,27.0,5.0,3.0,0.0,0.0,521.0,2.0,101.0,58.0,0.0,14.0,0.0,0.0,24.64,5.0,0.0,0.0
Donald Lee,GNB,TE,30.0,15.0,6.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,3.0,34.3,0.0,1.0,1.0
Stephen McGee,DAL,QB,25.0,2.0,1.0,0.0,0.0,238.0,2.0,44.0,74.0,0.0,13.0,0.0,0.0,24.92,0.0,1.0,0.0
Mike Sellers,WAS,RB,35.0,16.0,8.0,40.0,20.0,0.0,0.0,0.0,2.0,0.0,4.0,224.0,0.0,42.6,0.0,0.0,0.0
Travis Beckum,NYG,TE,23.0,16.0,2.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,2.0,36.6,0.0,0.0,0.0
Bernard Berrian,MIN,WR,30.0,14.0,9.0,54.0,28.0,0.0,0.0,0.0,-8.0,0.0,1.0,252.0,0.0,52.40000000000001,0.0,2.0,0.0
Jeff King,CAR,WR,27.0,16.0,16.0,32.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,2.0,43.1,0.0,0.0,0.0
Craig Stevens,TEN,TE,26.0,15.0,13.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,2.0,35.2,0.0,0.0,0.0
Sammie Stroughter,TAM,WR,24.0,12.0,4.0,38.0,24.0,0.0,0.0,0.0,2.0,0.0,1.0,239.0,0.0,46.1,0.0,1.0,1.0
Leon Washington,SEA,RB,28.0,16.0,0.0,13.0,9.0,0.0,0.0,0.0,100.0,1.0,27.0,79.0,0.0,30.9,0.0,3.0,1.0
Charlie Batch,PIT,QB,36.0,3.0,2.0,0.0,0.0,352.0,3.0,49.0,30.0,0.0,7.0,0.0,0.0,23.08,3.0,2.0,0.0
Ted Ginn,SFO,WR,25.0,13.0,0.0,35.0,12.0,0.0,0.0,0.0,11.0,0.0,2.0,163.0,1.0,35.4,0.0,1.0,0.0
Bryant Johnson,DET,WR,29.0,14.0,7.0,49.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,39.0,0.0,0.0,0.0
Golden Tate,SEA,WR,22.0,11.0,0.0,39.0,21.0,0.0,0.0,0.0,4.0,0.0,2.0,227.0,0.0,44.1,0.0,1.0,0.0
Kelley Washington,SDG,WR,31.0,8.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,1.0,36.3,0.0,0.0,0.0
John Gilmore,TAM,TE,31.0,16.0,11.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1.0,35.0,0.0,0.0,0.0
Ruvell Martin,SEA,WR,28.0,5.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,1.0,28.8,0.0,0.0,0.0
Le'Ron McClain,BAL,RB,26.0,15.0,13.0,26.0,21.0,0.0,0.0,0.0,85.0,0.0,28.0,134.0,0.0,42.9,0.0,0.0,0.0
Ovie Mughelli,ATL,RB,30.0,16.0,6.0,18.0,13.0,0.0,0.0,0.0,36.0,0.0,13.0,126.0,1.0,35.2,0.0,0.0,0.0
Damian Williams,TEN,WR,22.0,16.0,1.0,28.0,16.0,0.0,0.0,0.0,5.0,0.0,1.0,219.0,0.0,38.4,0.0,0.0,0.0
Patrick Cobbs,MIA,RB,27.0,16.0,1.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,91.0,2.0,29.1,0.0,1.0,0.0
Ed Dickson,BAL,TE,23.0,15.0,3.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,1.0,32.2,0.0,0.0,0.0
Joe McKnight,NYJ,RB,22.0,9.0,1.0,4.0,3.0,0.0,0.0,0.0,189.0,0.0,39.0,20.0,0.0,23.9,0.0,0.0,0.0
Chad Hall,PHI,WR,24.0,8.0,1.0,18.0,11.0,0.0,0.0,0.0,29.0,0.0,9.0,115.0,1.0,31.4,0.0,0.0,0.0
Greg Lewis,MIN,WR,30.0,13.0,5.0,37.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,36.7,0.0,0.0,0.0
Marlon Moore,MIA,WR,23.0,9.0,0.0,19.0,6.0,0.0,0.0,0.0,16.0,0.0,1.0,128.0,1.0,26.4,0.0,0.0,0.0
